,Selamat,PCLASS,Gender,Umur,SIBSA,PARCA,Tarif,Male
153,True,3,True,27,0,0,7.3125,True
154,True,1,True,51,0,1,61.3792,True
155,False,3,False,16,0,0,7.7333,False
156,True,3,True,30,0,0,8.05,True
157,True,3,True,37,0,0,8.6625,True
158,True,3,True,5,8,2,69.55,True
159,True,3,True,44,0,1,16.1,True
160,False,2,False,40,0,0,15.75,False
161,True,3,True,26,0,0,7.775,True
162,True,3,True,17,0,0,8.6625,True
163,True,3,True,1,4,1,39.6875,True
164,False,3,True,9,0,2,20.525,True
165,False,1,False,48,0,1,55.0,False
166,True,3,False,45,1,4,27.9,False
167,True,1,True,60,0,0,25.925,True
168,True,3,True,28,0,0,56.4958,True
169,True,1,True,61,0,0,33.5,True
170,True,3,True,4,4,1,29.125,True
171,False,3,False,1,1,1,11.1333,False
172,True,3,True,21,0,0,7.925,True
173,True,1,True,56,0,0,30.6958,True
174,True,3,True,18,1,1,7.8542,True
175,True,3,True,5,3,1,25.4667,True
176,True,1,False,50,0,0,28.7125,False
177,True,2,True,30,0,0,13.0,True
178,True,3,True,36,0,0,0.0,True
179,True,3,False,8,8,2,69.55,False
180,True,2,True,39,0,0,15.05,True
181,True,3,True,9,4,2,31.3875,True
182,False,2,True,1,2,1,39.0,True
183,False,3,False,4,0,2,22.025,False
184,True,1,True,39,0,0,50.0,True
185,False,3,False,26,1,0,15.5,False
186,False,1,True,45,0,0,26.55,True
187,True,3,True,40,1,1,15.5,True
188,True,3,True,36,0,0,7.8958,True
189,False,2,False,32,0,0,13.0,False
190,True,2,True,19,0,0,13.0,True
191,False,3,False,19,1,0,7.8542,False
192,False,2,True,3,1,1,26.0,True
193,False,1,False,44,0,0,27.7208,False
194,False,1,False,58,0,0,146.5208,False
195,True,3,True,28,0,0,7.75,True
196,True,3,True,42,0,1,8.4042,True
197,False,3,False,21,0,0,7.75,False
198,True,2,False,24,0,0,13.0,False
199,True,3,True,28,0,0,9.5,True
200,True,3,True,17,8,2,69.55,True
201,True,3,True,34,0,0,6.4958,True
202,True,3,True,45,0,0,7.225,True
203,False,3,True,18,0,0,8.05,True
204,True,3,False,2,0,1,10.4625,False
205,True,3,True,32,1,0,15.85,True
206,False,3,True,26,0,0,18.7875,True
207,False,3,False,16,0,0,7.75,False
208,False,1,True,40,0,0,31.0,True
209,True,3,True,24,0,0,7.05,True
210,False,2,False,35,0,0,21.0,False
211,True,3,True,22,0,0,7.25,True
212,True,2,True,30,0,0,13.0,True
213,True,3,True,22,1,0,7.75,True
214,False,1,False,31,1,0,113.275,False
215,False,3,False,27,0,0,7.925,False
216,True,2,True,42,1,0,27.0,True
217,False,1,False,32,0,0,76.2917,False
218,True,2,True,30,0,0,10.5,True
219,False,3,True,16,0,0,8.05,True
220,True,2,True,27,0,0,13.0,True
221,True,3,True,51,0,0,8.05,True
222,True,3,True,22,0,0,7.8958,True
223,False,1,True,38,1,0,90.0,True
224,True,3,True,22,0,0,9.35,True
225,False,2,True,19,0,0,10.5,True
226,True,3,True,20,0,0,7.25,True
227,True,2,True,18,0,0,13.0,True
228,True,3,False,12,3,1,25.4667,False
229,False,1,False,35,1,0,83.475,False
230,True,3,True,29,0,0,7.775,True
231,True,2,True,59,0,0,13.5,True
232,False,3,False,5,4,2,31.3875,False
233,True,2,True,24,0,0,10.5,True
234,True,3,False,21,0,0,7.55,False
235,True,2,True,44,1,0,26.0,True
236,False,2,False,8,0,2,26.25,False
237,True,2,True,19,0,0,10.5,True
238,True,2,True,33,0,0,12.275,True
239,True,3,False,19,1,0,14.4542,False
240,False,3,False,18,1,0,15.5,False
241,True,2,True,29,0,0,10.5,True
242,True,3,True,22,0,0,7.125,True
243,True,3,True,30,0,0,7.225,True
244,True,1,True,44,2,0,90.0,True
245,True,3,False,25,0,0,7.775,False
246,False,2,False,24,0,2,14.5,False
247,False,1,True,37,1,1,52.5542,True
248,True,2,True,54,1,0,26.0,True
249,True,3,True,18,0,0,7.25,True
250,True,3,False,29,1,1,10.4625,False
251,True,1,True,62,0,0,26.55,True
252,True,3,True,30,1,0,16.1,True
253,True,3,False,41,0,2,20.2125,False
254,False,3,False,29,0,2,15.2458,False
255,False,1,False,38,0,0,79.2,False
256,False,1,False,30,0,0,86.5,False
257,False,1,False,35,0,0,512.3292,False
258,False,2,False,50,0,1,26.0,False
259,False,3,True,3,4,2,31.3875,True
260,True,1,True,52,1,1,79.65,True
261,True,1,True,40,0,0,0.0,True
262,True,3,False,21,0,0,7.75,False
263,True,2,True,36,0,0,10.5,True
264,True,3,True,16,4,1,39.6875,True
265,False,3,True,25,1,0,7.775,True
266,False,1,False,58,0,1,153.4625,False
267,False,1,False,35,0,0,135.6333,False
268,True,1,True,28,0,0,31.0,True
269,False,3,True,25,0,0,0.0,True
270,False,2,False,41,0,1,19.5,False
271,True,1,True,37,0,1,29.7,True
272,False,3,False,33,0,0,7.75,False
273,False,1,False,63,1,0,77.9583,False
274,True,3,False,45,0,0,7.75,False
275,True,2,True,21,0,0,0.0,True
276,True,3,True,7,4,1,29.125,True
277,False,3,False,35,1,1,20.25,False
278,True,3,True,65,0,0,7.75,True
279,True,3,True,28,0,0,7.8542,True
280,True,3,True,16,0,0,9.5,True
281,False,3,True,19,0,0,8.05,True
282,True,1,True,57,0,0,26.0,True
283,True,3,True,33,0,0,8.6625,True
284,False,3,True,30,0,0,9.5,True
285,True,3,True,22,0,0,7.8958,True
286,False,2,True,42,0,0,13.0,True
287,False,3,False,22,0,0,7.75,False
288,False,1,False,26,0,0,78.85,False
289,False,1,False,19,1,0,91.0792,False
290,True,2,True,36,0,0,12.875,True
291,True,3,False,24,0,0,8.85,False
292,True,3,True,24,0,0,7.8958,True
293,True,1,True,30,0,0,27.7208,True
294,True,3,True,23,0,0,7.2292,True
295,True,1,False,2,1,2,151.55,False
296,False,1,True,47,0,0,30.5,True
297,False,1,False,50,0,1,247.5208,False
298,False,3,False,20,0,0,7.75,False
299,False,3,True,24,2,0,23.25,True
300,True,3,True,19,0,0,0.0,True
301,False,2,False,46,0,0,12.35,False
302,True,3,True,28,0,0,8.05,True
303,False,1,True,0,1,2,151.55,True
304,False,1,False,42,0,0,110.8833,False
305,False,1,False,17,1,0,108.9,False
306,True,2,True,30,1,0,24.0,True
307,False,1,False,30,0,0,56.9292,False
308,False,1,False,24,0,0,83.1583,False
309,False,1,False,18,2,2,262.375,False
310,True,2,False,26,1,1,26.0,False
311,True,3,True,28,0,0,7.8958,True
312,True,2,True,43,1,1,26.25,True
313,False,3,False,26,0,0,7.8542,False
314,False,2,False,24,1,0,26.0,False
315,True,2,True,54,0,0,14.0,True
316,False,1,False,31,0,2,164.8667,False
317,False,1,False,40,1,1,134.5,False
318,True,3,True,22,0,0,7.25,True
319,True,3,True,27,0,0,7.8958,True
320,False,2,False,30,0,0,12.35,False
321,False,2,False,22,1,1,29.0,False
322,True,3,True,20,8,2,69.55,True
323,False,1,False,36,0,0,135.6333,False
324,True,3,True,61,0,0,6.2375,True
325,False,2,False,36,0,0,13.0,False
326,False,3,False,31,1,1,20.525,False
327,False,1,False,16,0,1,57.9792,False
328,False,3,False,28,2,0,23.25,False
329,True,1,True,45,0,0,28.5,True
330,True,1,True,38,0,1,153.4625,True
331,True,3,True,16,2,0,18.0,True
332,False,1,False,42,1,0,133.65,False
333,True,3,True,30,0,0,7.8958,True
334,True,1,True,29,1,0,66.6,True
335,False,1,False,41,0,0,134.5,False
336,False,3,True,45,0,0,8.05,True
337,True,1,True,45,0,0,35.5,True
338,False,2,True,2,1,1,26.0,True
339,False,1,False,24,3,2,263.0,False
340,True,2,True,28,0,0,13.0,True
341,True,2,True,25,0,0,13.0,True
342,True,2,True,36,0,0,13.0,True
343,False,2,False,24,0,0,13.0,False
344,False,2,False,40,0,0,13.0,False
345,False,3,False,34,1,0,16.1,False
346,False,3,True,3,1,1,15.9,True
347,True,3,True,42,0,0,8.6625,True
348,True,3,True,23,0,0,9.225,True
349,True,1,True,43,0,0,35.0,True
350,True,3,True,15,1,1,7.2292,True
351,True,3,True,25,1,0,17.8,True
352,True,3,True,23,0,0,7.225,True
353,True,3,True,28,0,0,9.5,True
354,False,1,False,22,0,1,55.0,False
355,True,2,False,38,0,0,13.0,False
356,False,3,False,22,0,0,7.8792,False
357,False,3,False,23,0,0,7.8792,False
358,True,3,True,40,1,4,27.9,True
359,True,2,True,29,1,0,27.7208,True
360,True,3,False,45,0,1,14.4542,False
361,True,3,True,35,0,0,7.05,True
362,True,3,True,27,1,0,15.5,True
363,True,3,True,30,0,0,7.25,True
364,False,1,False,60,1,0,75.25,False
365,False,3,False,35,0,0,7.2292,False
366,False,3,False,22,0,0,7.75,False
367,False,1,False,24,0,0,69.3,False
368,False,1,True,25,1,0,55.4417,True
369,True,3,True,18,1,0,6.4958,True
370,True,3,True,19,0,0,8.05,True
371,True,1,True,22,0,0,135.6333,True
372,True,3,False,3,3,1,21.075,False
373,False,1,False,25,1,0,82.1708,False
374,False,3,False,22,0,0,7.25,False
375,True,1,True,27,0,2,211.5,True
376,True,3,True,20,0,0,4.0125,True
377,True,3,True,19,0,0,7.775,True
378,False,1,False,42,0,0,227.525,False
379,False,3,False,1,0,2,15.7417,False
380,True,3,True,32,0,0,7.925,True
381,False,1,False,35,1,0,52.0,False
382,True,3,True,27,0,0,7.8958,True
383,True,2,True,18,0,0,73.5,True
384,True,3,True,1,5,2,46.9,True
385,False,2,False,36,0,0,13.0,False
386,True,3,True,19,0,0,7.7292,True
387,False,2,False,17,0,0,12.0,False
388,False,1,True,36,1,2,120.0,True
389,False,3,True,21,0,0,7.7958,True
390,True,3,True,28,2,0,7.925,True
391,False,1,False,23,1,0,113.275,False
392,False,3,False,24,0,2,16.7,False
393,True,3,True,22,0,0,7.7958,True
394,True,3,False,31,0,0,7.8542,False
395,True,2,True,46,0,0,26.0,True
396,True,2,True,23,0,0,10.5,True
397,False,2,False,28,0,0,12.65,False
398,False,3,True,39,0,0,7.925,True
399,True,3,True,26,0,0,8.05,True
400,True,3,False,21,1,0,9.825,False
401,True,3,True,28,1,0,15.85,True
402,True,3,False,20,0,0,8.6625,False
403,True,2,True,34,1,0,21.0,True
404,True,3,True,51,0,0,7.75,True
405,False,2,True,3,1,1,18.75,True
406,True,3,True,21,0,0,7.775,True
407,True,3,False,3,3,1,25.4667,False
408,True,3,True,42,0,0,7.8958,True
409,True,3,True,27,0,0,6.8583,True
410,False,1,False,33,1,0,90.0,False
411,True,2,True,22,0,0,0.0,True
412,False,3,True,44,0,0,7.925,True
413,True,3,False,32,0,0,8.05,False
414,False,2,False,34,1,1,32.5,False
415,False,2,False,18,0,2,13.0,False
416,True,2,True,30,0,0,13.0,True
417,True,3,False,10,0,2,24.15,False
418,True,3,True,21,0,0,7.7333,True
419,True,3,True,29,0,0,7.875,True
420,True,3,False,28,1,1,14.4,False
421,True,3,True,18,1,1,20.2125,True
422,True,3,True,54,0,0,7.25,True
423,False,2,False,28,1,0,26.0,False
424,False,2,False,19,0,0,26.0,False
425,True,3,True,28,0,0,7.75,True
426,False,3,True,32,0,0,8.05,True
427,False,1,True,28,0,0,26.55,True
428,False,3,False,33,1,0,16.1,False
429,False,2,False,42,1,0,26.0,False
430,True,3,True,17,0,0,7.125,True
431,True,1,True,50,1,0,55.9,True
432,False,1,False,14,1,2,120.0,False
433,True,3,False,21,2,2,34.375,False
434,False,2,False,24,2,3,18.75,False
435,True,1,True,64,1,4,263.0,True
436,True,2,True,31,0,0,10.5,True
437,False,2,False,45,1,1,26.25,False
438,True,3,True,20,0,0,9.5,True
439,True,3,True,25,1,0,7.775,True
440,False,2,False,28,0,0,13.0,False
441,False,3,True,29,0,0,8.1125,True
442,False,1,True,4,0,2,81.8583,True
443,False,2,False,13,0,1,19.5,False
444,False,1,True,34,0,0,26.55,True
445,False,3,False,5,2,1,19.2583,False
446,False,1,True,52,0,0,30.5,True
447,True,2,True,36,1,2,27.75,True
448,True,3,True,28,1,0,19.9667,True
449,True,1,True,30,0,0,27.75,True
450,False,1,True,49,1,0,89.1042,True
451,True,3,True,24,0,0,8.05,True
452,False,3,True,29,0,0,7.8958,True
453,True,1,True,65,0,0,26.55,True
454,False,1,False,41,1,0,51.8625,False
455,False,2,False,50,0,0,10.5,False
456,True,3,True,17,0,0,7.75,True
457,False,1,True,48,0,0,26.55,True
458,True,3,True,34,0,0,8.05,True
459,True,1,True,47,0,0,38.5,True
460,True,2,True,48,0,0,13.0,True
461,True,3,True,34,0,0,8.05,True
462,True,3,True,38,0,0,7.05,True
463,True,2,True,21,0,0,0.0,True
464,True,1,True,56,0,0,26.55,True
465,True,3,True,22,0,0,7.725,True
466,False,3,False,0,2,1,19.2583,False
467,True,3,True,39,0,0,7.25,True
468,True,3,True,38,0,0,8.6625,True
469,False,2,False,33,1,2,27.75,False
470,False,2,False,23,0,0,13.7917,False
471,True,3,False,22,0,0,9.8375,False
472,True,1,True,40,0,0,52.0,True
473,True,2,True,34,1,0,21.0,True
474,True,3,True,29,1,0,7.0458,True
475,True,3,True,22,0,0,7.5208,True
476,False,3,False,2,0,1,12.2875,False
477,True,3,True,9,5,2,46.9,True
478,True,2,True,37,0,0,0.0,True
479,True,3,True,50,0,0,8.05,True
480,False,3,False,63,0,0,9.5875,False
481,False,1,True,25,1,0,91.0792,True
482,True,3,False,8,3,1,25.4667,False
483,False,1,False,35,1,0,90.0,False
484,True,1,True,58,0,0,29.7,True
485,True,3,True,30,0,0,8.05,True
486,False,3,True,9,1,1,15.9,True
487,True,3,True,19,1,0,19.9667,True
488,True,3,True,21,0,0,7.25,True
489,True,1,True,55,0,0,30.5,True
490,True,1,True,71,0,0,49.5042,True
491,True,3,True,21,0,0,8.05,True
492,True,3,True,26,0,0,14.4583,True
493,False,1,False,54,1,0,78.2667,False
494,True,3,True,55,0,0,15.1,True
495,True,1,False,25,1,2,151.55,False
496,True,3,True,24,0,0,7.7958,True
497,True,3,True,17,0,0,8.6625,True
498,True,3,False,21,0,0,7.75,False
499,True,3,False,21,0,0,7.6292,False
500,True,3,False,37,0,0,9.5875,False
501,False,1,False,16,0,0,86.5,False
502,True,1,True,18,1,0,108.9,True
503,False,2,False,33,0,2,26.0,False
504,False,1,True,37,0,0,26.55,True
505,True,3,True,28,0,0,22.525,True
506,False,3,True,26,0,0,56.4958,True
507,False,3,True,29,0,0,7.75,True
508,True,3,True,66,0,0,8.05,True
509,False,1,True,36,0,0,26.2875,True
510,False,1,False,54,1,0,59.4,False
511,True,3,True,24,0,0,7.4958,True
512,True,1,True,47,0,0,34.0208,True
513,False,2,False,34,0,0,10.5,False
514,True,3,True,30,0,0,24.15,True
515,False,2,False,36,1,0,26.0,False
516,True,3,True,32,0,0,7.8958,True
517,False,1,False,30,0,0,93.5,False
518,True,3,True,22,0,0,7.8958,True
519,True,3,True,35,0,0,7.225,True
520,False,1,False,44,0,1,57.9792,False
521,True,3,True,18,0,0,7.2292,True
522,True,3,True,40,0,0,7.75,True
523,False,2,False,50,0,0,10.5,False
524,True,1,True,49,0,0,221.7792,True
525,True,3,True,39,0,0,7.925,True
526,True,2,True,23,2,1,11.5,True
527,False,2,False,2,1,1,26.0,False
528,True,3,True,17,0,0,7.2292,True
529,True,3,True,17,1,1,7.2292,True
530,False,3,False,24,0,2,22.3583,False
531,True,3,False,30,0,0,8.6625,False
532,False,2,False,7,0,2,26.25,False
533,True,1,True,45,0,0,26.55,True
534,False,1,False,30,0,0,106.425,False
535,True,3,True,69,0,0,14.5,True
536,False,1,False,22,0,2,49.5,False
537,False,1,False,36,0,2,71.0,False
538,True,3,False,9,4,2,31.275,False
539,True,3,False,11,4,2,31.275,False
540,False,2,True,32,1,0,26.0,True
541,True,1,True,50,1,0,106.425,True
542,True,1,True,64,0,0,26.0,True
543,False,2,False,19,1,0,26.0,False
544,False,2,True,27,0,0,13.8625,True
545,True,3,True,33,1,1,20.525,True
546,False,2,True,8,1,1,36.75,True
547,False,1,True,17,0,2,110.8833,True
548,True,2,True,27,0,0,26.0,True
549,True,3,True,21,0,0,7.8292,True
550,False,3,True,22,0,0,7.225,True
551,False,3,False,22,0,0,7.775,False
552,True,1,True,62,0,0,26.55,True
553,False,1,False,48,1,0,39.6,False
554,True,1,True,45,0,0,227.525,True
555,False,1,False,39,1,1,79.65,False
556,False,3,False,36,1,0,17.4,False
557,True,3,True,30,0,0,7.75,True
558,True,3,True,40,0,0,7.8958,True
559,True,2,True,28,0,0,13.5,True
560,True,3,True,40,0,0,8.05,True
561,True,3,False,62,0,0,8.05,False
562,True,3,True,24,2,0,24.15,True
563,True,3,True,19,0,0,7.8958,True
564,True,3,False,29,0,4,21.075,False
565,True,3,True,28,0,0,7.2292,True
566,False,3,True,32,0,0,7.8542,True
567,False,2,True,62,0,0,10.5,True
568,False,1,False,53,2,0,51.4792,False
569,False,1,True,36,0,0,26.3875,True
570,False,3,False,22,0,0,7.75,False
571,True,3,True,16,0,0,8.05,True
572,True,3,True,19,0,0,14.5,True
573,False,2,False,34,0,0,13.0,False
574,False,1,False,39,1,0,55.9,False
575,True,3,False,18,1,0,14.4583,False
576,False,3,True,32,0,0,7.925,True
577,False,2,False,25,1,1,30.0,False
578,False,1,False,39,1,1,110.8833,False
579,True,2,True,54,0,0,26.0,True
580,True,1,True,36,0,0,40.125,True
581,True,3,True,16,0,0,8.7125,True
582,False,1,False,18,0,2,79.65,False
583,True,2,True,47,0,0,15.0,True
584,False,1,True,60,1,1,79.2,True
585,True,3,True,22,0,0,8.05,True
586,True,3,True,22,0,0,8.05,True
587,True,3,True,35,0,0,7.125,True
588,False,1,False,52,1,0,78.2667,False
589,True,3,True,47,0,0,7.25,True
590,True,3,False,40,0,2,7.75,False
591,True,2,True,37,1,0,26.0,True
592,True,3,True,36,1,1,24.15,True
593,False,2,False,31,0,0,33.0,False
594,True,3,True,49,0,0,0.0,True
595,True,3,True,18,0,0,7.225,True
596,False,1,True,49,1,0,56.9292,True
597,False,2,False,24,2,1,27.0,False
598,True,3,True,42,0,0,7.8958,True
599,True,1,True,37,0,0,42.4,True
600,True,3,True,44,0,0,8.05,True
601,False,1,True,35,0,0,26.55,True
602,True,3,True,36,1,0,15.55,True
603,True,3,True,30,0,0,7.8958,True
604,False,1,True,27,0,0,30.5,True
605,False,2,False,22,1,2,41.5792,False
606,False,1,False,40,0,0,153.4625,False
607,True,3,False,39,1,5,31.275,False
608,True,3,True,21,0,0,7.05,True
609,False,3,False,18,1,0,15.5,False
610,True,3,True,22,0,0,7.75,True
611,True,3,True,35,0,0,8.05,True
612,False,2,False,24,1,2,65.0,False
613,True,3,True,34,1,1,14.4,True
614,True,3,False,26,1,0,16.1,False
615,False,2,False,4,2,1,39.0,False
616,True,2,True,26,0,0,10.5,True
617,True,3,True,27,1,0,14.4542,True
618,False,1,True,42,1,0,52.5542,True
619,False,3,True,20,1,1,15.7417,True
620,True,3,True,21,0,0,7.8542,True
621,True,3,True,21,0,0,16.1,True
622,True,1,True,61,0,0,32.3208,True
623,True,2,True,57,0,0,12.35,True
624,False,1,False,21,0,0,77.9583,False
625,True,3,True,26,0,0,7.8958,True
626,True,3,True,18,0,0,7.7333,True
627,False,1,True,80,0,0,30.0,True
628,True,3,True,51,0,0,7.0542,True
629,False,1,True,32,0,0,30.5,True
630,True,1,True,30,0,0,0.0,True
631,True,3,False,9,3,2,27.9,False
632,False,2,False,28,0,0,13.0,False
633,True,3,True,32,0,0,7.925,True
634,True,2,True,31,1,1,26.25,True
635,True,3,False,41,0,5,39.6875,False
636,True,3,True,37,1,0,16.1,True
637,True,3,True,20,0,0,7.8542,True
638,False,1,False,24,0,0,69.3,False
639,True,3,False,2,3,2,27.9,False
640,False,3,True,32,0,0,56.4958,True
641,False,3,False,0,2,1,19.2583,False
642,False,1,True,48,1,0,76.7292,True
643,True,3,True,19,0,0,7.8958,True
644,False,1,True,56,0,0,35.5,True
645,True,3,True,21,0,0,7.55,True
646,False,3,False,23,0,0,7.55,False
647,True,3,True,23,0,0,7.8958,True
648,False,2,False,18,0,1,23.0,False
649,True,3,True,21,0,0,8.4333,True
650,False,3,False,16,0,0,7.8292,False
651,True,3,False,18,0,0,6.75,False
652,True,2,True,24,2,0,73.5,True
653,True,3,True,27,0,0,7.8958,True
654,True,3,False,32,1,1,15.5,False
655,True,2,True,23,0,0,13.0,True
656,True,1,True,58,0,2,113.275,True
657,False,1,True,50,2,0,133.65,True
658,True,3,True,40,0,0,7.225,True
659,True,1,True,47,0,0,25.5875,True
660,True,3,True,36,0,0,7.4958,True
661,False,3,True,20,1,0,7.925,True
662,True,2,True,32,2,0,73.5,True
663,True,2,True,25,0,0,13.0,True
664,True,3,True,49,0,0,7.775,True
665,True,3,True,43,0,0,8.05,True
666,False,1,False,48,1,0,52.0,False
667,False,2,False,40,1,1,39.0,False
668,True,1,True,31,1,0,52.0,True
669,True,2,True,70,0,0,10.5,True
670,False,2,True,31,0,0,13.0,True
671,True,2,True,19,0,0,0.0,True
672,True,3,True,18,0,0,7.775,True
673,True,3,True,24,0,0,8.05,True
674,False,3,False,18,0,0,9.8417,False
675,True,3,False,43,1,6,46.9,False
676,False,1,True,36,0,1,512.3292,True
677,True,3,False,28,0,0,8.1375,False
678,False,1,True,27,0,0,76.7292,True
679,True,3,True,20,0,0,9.225,True
680,True,3,True,14,5,2,46.9,True
681,True,2,True,60,1,1,39.0,True
682,True,2,True,25,1,2,41.5792,True
683,True,3,True,14,4,1,39.6875,True
684,True,3,True,19,0,0,10.1708,True
